DuplicateGroup,OriginalRow,CusNo,CusName,InvNo,InvType,Day,InvDueDate,Sts,pType,Comment, Balance ,QryRunTime,CreateDate,Updated,UpdatedTime,Auto-Notes,Review?,InvoiceComment/Item,ManualNotes,"HIGHLITE 36,112.49","NOHILITE 278,530.04"," GT: 314,642.53 ",Prev. EFT Extract: 11/4/25 12:33,, (2.36),CL44118,,,,,,,,,,,,,,,
1794,1795,0011174,"Automatic Car Wash, Inc",5941835,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,40,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
1794,1795,0011174,"Automatic Car Wash, Inc",5941836,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,40,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2654,2656,0017676,TWC Bozeman Gas LLC,5936347,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 52,2.32,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2654,2656,0017676,TWC Bozeman Gas LLC,5936353,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 52,2.32,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2773,2776,0017861,"Golden State Oil, Inc",5935617,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 09,3.58,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2773,2776,0017861,"Golden State Oil, Inc",5935619,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 09,3.58,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
3008,3012,0018038,Oasis Beverage LLC,5938595,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 13,2.48,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
3008,3012,0018038,Oasis Beverage LLC,5938601,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 13,2.48,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5645,5650,0084013,Don's Car Wash #3,5940239,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,40,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5645,5650,0084013,Don's Car Wash #3,5940240,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,40,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5837,5843,0084015,Don's Express Center #5,5939579,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,40,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5837,5843,0084015,Don's Express Center #5,5939581,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,40,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5837,5843,0084015,Don's Express Center #5,5939582,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,40,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5838,5844,0084015,Don's Express Center #5,5939580,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,50,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5838,5844,0084015,Don's Express Center #5,5939583,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 00,50,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5860,5869,0084925,Set Five LLC,5940267,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 31,6.93,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5860,5869,0084925,Set Five LLC,5940269,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 31,6.93,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5991,6001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
