"CityServiceValcon, LLC (CSV)",,,,,,,,,,
Detail Postings for Period 10 Ending 10/31/2025,,,,,,,,,,
,,,,,,,,,,
Account Number/Description,,,,,,,,,,
Period,Date,Comments,Journal,Source,Batch,Beginning Balance,Debit,Credit,Net Change,Ending Balance
11000-00000-00,,,,,,"27,068,527.51",,,,
Accounts Receivable,,,,,,,,,,
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078484,A/R,86251,,0.00,"389,926.90","26,678,600.61",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078485,A/R,86253,,"228,475.26",0.00,"26,907,075.87",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078512,A/R,86272,,91.81,0.00,"26,907,167.68",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078515,A/R,86275,,0.00,"224,250.15","26,682,917.53",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078516,A/R,86276,,0.00,"183,616.73","26,499,300.80",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078517,A/R,86277,,0.00,"135,504.33","26,363,796.47",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078518,A/R,86278,,0.00,"41,506.01","26,322,290.46",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078519,A/R,86279,,0.00,"3,187.70","26,319,102.76",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078520,A/R,86280,,0.00,"977,660.25","25,341,442.51",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078527,A/R,86291,,0.00,91.81,"25,341,350.70",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078538,A/R,86307,,0.00,3.00,"25,341,347.70",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078541,A/R,86310,,0.00,"1,387.52","25,339,960.18",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078542,A/R,86308,,0.00,"12,726.03","25,327,234.15",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078553,A/R,86269,,0.00,"3,254.51","25,323,979.64",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078554,A/R,86270,,0.00,523.25,"25,323,456.39",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078555,A/R,86274,,0.00,"1,400.00","25,322,056.39",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078556,A/R,86281,,0.00,"9,038.36","25,313,018.03",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078567,A/R,C1001,,0.00,"1,675.17","25,311,342.86",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078568,A/R,V1001,,0.00,"21,874.63","25,289,468.23",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078570,A/R,86284,,0.00,462.42,"25,289,005.81",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078571,A/R,86295,,0.00,100.00,"25,288,905.81",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078572,A/R,86296,,0.00,100.70,"25,288,805.11",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078574,A/R,86297,,0.00,"3,180.04","25,285,625.07",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078575,A/R,86298,,0.00,554.67,"25,285,070.40",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078582,A/R,86349,,0.00,"201,749.82","25,083,320.58",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078585,A/R,86353,,0.00,"9,328.07","25,073,992.51",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078654,A/R,86426,,0.00,"16,500.10","25,057,492.41",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078661,A/R,86431,,0.00,99.00,"25,057,393.41",
10,10/1/2025,A/R Cash Receipts Entry - 10/1/2025,CR-078771,A/R,86545,,975.00,0.00,"25,058,368.41",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159815,S/O,78344,,30.00,0.00,"25,058,398.41",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159873,S/O,78212,,500.00,0.00,"25,058,898.41",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159874,S/O,78219,,"13,077.85",0.00,"25,071,976.26",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159922,S/O,78384,,0.00,500.00,"25,071,476.26",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159947,S/O,78397,,"7,747.58",0.00,"25,079,223.84",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159961,S/O,78414,,"24,161.15",0.00,"25,103,384.99",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159963,S/O,78392,,"7,744.89",0.00,"25,111,129.88",
10,10/1/2025,S/O Invoice Entry - 10/1/2025,SO-159975,S/O,78400,,"2,443.46",0.00,"25,113,573.34",
