"CityServiceValcon, LLC (CSV)",,,,,,,,,,,
,,,,,,,,,,,
"Customer/
Invoice
Number",Invoice,Due,unk,Invoice Amount,Discount Amount,Invoice Balance,TransType,TransDate, TransAmount ,"Check
Number/Type","Deposit
Date"
0000003 Kalispell 3rd Ave Credit Cards,,,,,,,,,,,
5854519-PP,10/10/2025,10/10/2025,1/0/1900,"2,081.33-",0.00,"2,081.33-",PRE,10/10/2025," (2,081.33)",C5854519,10/10/2025
5857071-PP,10/13/2025,10/13/2025,1/0/1900,"1,252.32-",0.00,"1,252.32-",PRE,10/13/2025," (1,252.32)",C5857071,10/13/2025
5859485-PP,10/13/2025,10/13/2025,1/0/1900,"2,552.17-",0.00,"2,552.17-",PRE,10/13/2025," (2,552.17)",C5859485,10/13/2025
5862027-PP,10/13/2025,10/13/2025,1/0/1900,"1,267.93-",0.00,"1,267.93-",PRE,10/13/2025," (1,267.93)",C5862027,10/13/2025
5864020-PP,10/14/2025,10/14/2025,1/0/1900,537.59-,0.00,537.59-,PRE,10/14/2025, (537.59),C5864020,10/14/2025
5866150-PP,10/15/2025,10/15/2025,1/0/1900,"1,895.08-",0.00,"1,895.08-",PRE,10/15/2025," (1,895.08)",C5866150,10/15/2025
5868461-PP,10/16/2025,10/16/2025,1/0/1900,"2,882.54-",0.00,"2,882.54-",PRE,10/16/2025," (2,882.54)",C5868461,10/16/2025
5870815-PP,10/17/2025,10/17/2025,1/0/1900,"2,260.85-",0.00,"2,260.85-",PRE,10/17/2025," (2,260.85)",C5870815,10/17/2025
5873182-PP,10/20/2025,10/20/2025,1/0/1900,"1,960.91-",0.00,"1,960.91-",PRE,10/20/2025," (1,960.91)",C5873182,10/20/2025
W265488-IN,10/9/2025,11/10/2025,1/0/1900,"3,333.67",0.00,"3,333.67",INV,10/9/2025," 3,333.67 ",,
W265792-IN,10/12/2025,11/10/2025,1/0/1900,"4,357.70",0.00,"4,357.70",INV,10/12/2025," 4,357.70 ",,
W266501-IN,10/14/2025,11/10/2025,1/0/1900,"4,777.64",0.00,"4,777.64",INV,10/14/2025," 4,777.64 ",,
W266823-IN,10/16/2025,11/10/2025,1/0/1900,"4,221.75",0.00,"4,221.75",INV,10/16/2025," 4,221.75 ",,
Customer 0000003 Totals:,,,,0.04,0.00,0.04,,, 0.04 ,,
0000005 North Lewiston Credit Cards,,,,,,,,,,,
5849845-PP,10/8/2025,10/8/2025,1/0/1900,444.58-,0.00,444.58-,PRE,10/8/2025, (444.58),C5849845,10/8/2025
5854713-PP,10/10/2025,10/10/2025,1/0/1900,284.25-,0.00,284.25-,PRE,10/10/2025, (284.25),C5854713,10/10/2025
5857256-PP,10/13/2025,10/13/2025,1/0/1900,575.91-,0.00,575.91-,PRE,10/13/2025, (575.91),C5857256,10/13/2025
5859631-PP,10/13/2025,10/13/2025,1/0/1900,165.72-,0.00,165.72-,PRE,10/13/2025, (165.72),C5859631,10/13/2025
5859642-PP,10/13/2025,10/13/2025,1/0/1900,253.13-,0.00,253.13-,PRE,10/13/2025, (253.13),C5859642,10/13/2025
5862160-PP,10/13/2025,10/13/2025,1/0/1900,70.90-,0.00,70.90-,PRE,10/13/2025, (70.90),C5862160,10/13/2025
5866352-PP,10/15/2025,10/15/2025,1/0/1900,57.66-,0.00,57.66-,PRE,10/15/2025, (57.66),C5866352,10/15/2025
5871001-PP,10/17/2025,10/17/2025,1/0/1900,713.56-,0.00,713.56-,PRE,10/17/2025, (713.56),C5871001,10/17/2025
5873371-PP,10/20/2025,10/20/2025,1/0/1900,264.23-,0.00,264.23-,PRE,10/20/2025, (264.23),C5873371,10/20/2025
W265277-IN,10/7/2025,11/10/2025,1/0/1900,728.85,0.00,728.85,INV,10/7/2025, 728.85 ,,
W265490-IN,10/9/2025,11/10/2025,1/0/1900,828.85,0.00,828.85,INV,10/9/2025, 828.85 ,,
W265794-IN,10/12/2025,11/10/2025,1/0/1900,236.61,0.00,236.61,INV,10/12/2025, 236.61 ,,
W266503-IN,10/14/2025,11/10/2025,1/0/1900,771.58,0.00,771.58,INV,10/14/2025, 771.58 ,,
W266826-IN,10/16/2025,11/10/2025,1/0/1900,353.19,0.00,353.19,INV,10/16/2025, 353.19 ,,
Customer 0000005 Totals:,,,,89.14,0.00,89.14,,, 89.14 ,,
0000006 Kalispell 5th Ave Credit Cards,,,,,,,,,,,
0889141-IN,10/9/2025,11/10/2025,1/0/1900,"6,598.96",0.00,"6,598.96",INV,10/9/2025," 6,598.96 ",,
0889552-IN,10/12/2025,11/10/2025,1/0/1900,"7,033.28",0.00,"7,033.28",INV,10/12/2025," 7,033.28 ",,
0890085-IN,10/14/2025,11/10/2025,1/0/1900,"5,158.78",0.00,"5,158.78",INV,10/14/2025," 5,158.78 ",,
0890598-IN,10/16/2025,11/10/2025,1/0/1900,"5,861.55",0.00,"5,861.55",INV,10/16/2025," 5,861.55 ",,
5852407-PP,10/9/2025,10/9/2025,1/0/1900,"1,186.66-",0.00,"1,186.66-",PRE,10/9/2025," (1,186.66)",C5852407,10/9/2025
5852409-PP,10/9/2025,10/9/2025,1/0/1900,"1,652.02-",0.00,"1,652.02-",PRE,10/9/2025," (1,652.02)",C5852409,10/9/2025
5854863-PP,10/10/2025,10/10/2025,1/0/1900,59.72-,0.00,59.72-,PRE,10/10/2025, (59.72),C5854863,10/10/2025
5854865-PP,10/10/2025,10/10/2025,1/0/1900,"1,191.72-",0.00,"1,191.72-",PRE,10/10/2025," (1,191.72)",C5854865,10/10/2025
5854867-PP,10/10/2025,10/10/2025,1/0/1900,"1,139.09-",0.00,"1,139.09-",PRE,10/10/2025," (1,139.09)",C5854867,10/10/2025
5857409-PP,10/13/2025,10/13/2025,1/0/1900,"1,587.83-",0.00,"1,587.83-",PRE,10/13/2025," (1,587.83)",C5857409,10/13/2025
5857411-PP,10/13/2025,10/13/2025,1/0/1900,"1,332.55-",0.00,"1,332.55-",PRE,10/13/2025," (1,332.55)",C5857411,10/13/2025
5857413-PP,10/13/2025,10/13/2025,1/0/1900,"1,369.30-",0.00,"1,369.30-",PRE,10/13/2025," (1,369.30)",C5857413,10/13/2025
5859793-PP,10/13/2025,10/13/2025,1/0/1900,88.65-,0.00,88.65-,PRE,10/13/2025, (88.65),C5859793,10/13/2025
