Invoice,Amount
5854519-PP,-2081.33
5857071-PP,-1252.32
5859485-PP,-2552.17
5862027-PP,-1267.93
5864020-PP,-537.59
5866150-PP,-1895.08
5868461-PP,-2882.54
5870815-PP,-2260.85
5873182-PP,-1960.91
W265488-IN,3333.67
W265792-IN,4357.7
W266501-IN,4777.64
W266823-IN,4221.75
5849845-PP,-444.58
5854713-PP,-284.25
5857256-PP,-575.91
5859631-PP,-165.72
5859642-PP,-253.13
5862160-PP,-70.9
5866352-PP,-57.66
5871001-PP,-713.56
5873371-PP,-264.23
W265277-IN,728.85
W265490-IN,828.85
W265794-IN,236.61
W266503-IN,771.58
W266826-IN,353.19
0889141-IN,6598.96
0889552-IN,7033.28
0890085-IN,5158.78
0890598-IN,5861.55
5852407-PP,-1186.66
5852409-PP,-1652.02
5854863-PP,-59.72
5854865-PP,-1191.72
5854867-PP,-1139.09
5857409-PP,-1587.83
5857411-PP,-1332.55
5857413-PP,-1369.3
5859793-PP,-88.65
5859795-PP,-167
5859797-PP,-1208.76
5859799-PP,-527.84
5862271-PP,-961.93
5862273-PP,-848.76
5864310-PP,-34
5864312-PP,-1091.58
5864314-PP,-275.32
5866493-PP,-1309.76
5866495-PP,-1116.08
5866497-PP,-1171.83
5868782-PP,-39.34
5868784-PP,-1890.71
5868786-PP,-429.43
5871135-PP,-142.53
5871137-PP,-1399.79
5871139-PP,-1323.29
5871141-PP,-1081.9
5873522-PP,-1334.01
5873524-PP,-23.06
0885433-IN,429.51
0890706-IN,64.86
0889824-IN,474.24
0889143-IN,5785.93
0889554-IN,5912.22
0890087-IN,7044.08
0890604-IN,5848.95
5854540-PP,-2937.27
5857098-PP,-2847.93
5859506-PP,-3678.41
5862048-PP,-1420.77
5864043-PP,-813.02
5866174-PP,-3678.72
5868487-PP,-3365.36
5870837-PP,-3111.79
5873207-PP,-2737.14
0889153-IN,6476.93
0889563-IN,8396.87
0890090-IN,5799.14
0890614-IN,6605.2
5854541-PP,-2923.37
5857099-PP,-3554.26
5859507-PP,-3604.29
5862049-PP,-2443.39
5864044-PP,-2349.11
5866175-PP,-2810.12
5868488-PP,-2989.03
5870838-PP,-3687.84
5873208-PP,-2917.38
W266194-IN,74.2
0062325-PP,-20
0100125-PP,-119.21
0888230-IN,30348.17
S345905-IN,197.53
5874073-PP,-425.53
5874074-PP,9.58
0002038-PP,-26.99
0021125-PP,-0.01
APR0001-FC,8.24
AUG0002-FC,8.24
FEB0001-FC,16.66
JAN0001-FC,0.83
JUL0004-FC,8.24
JUN0002-FC,10.31
MAR0002-FC,5.61
MAY0003-FC,8.24
S040812-IN,488.02
S040817-IN,540.54
SEP0001-FC,8.24
0100625-PP,-29
AUG0003-FC,1.24
SEP0004-FC,1.24
W254866-IN,99
W262627-IN,129
W266293-IN,70
S049816-IN,203.91
S050577-IN,239.55
S342720-IN,882.43
S343428-IN,1040.58
S343795-IN,558.95
S344338-IN,755.01
S344790-IN,839.84
S345423-IN,803.27
S346151-IN,678.06
S346362-IN,318.26
W262628-IN,99
PB92625-PP,-975
5873198-PP,-1523.57
5873199-PP,-2967.72
5873200-PP,-2971.48
0889704-IN,346.08
0862962-IN,254.4
AUG0004-FC,3.82
JUL0006-FC,3.82
S071558-IN,245.18
SEP0005-FC,3.82
0857967-IN,49.14
0885311-IN,49.14
AUG0005-FC,0.74
JUN0004-FC,19.69
SEP0006-FC,0.74
APR0005-FC,0.75
AUG0006-FC,6.99
JUL0008-FC,5.87
JUN0005-FC,5.87
MAY0005-FC,5.87
S327006-IN,535.57
SEP0007-FC,5.49
W254394-IN,74.2
S036588-IN,312.48
0888995-IN,650.86
JUL0009-FC,28.16
JUN0006-FC,48.97
MAY0007-FC,4.67
S344934-IN,318.32
S345671-IN,300.3
SEP0008-FC,5.74
W261189-IN,60
W261197-IN,120
PB0924-PP,-5103
S344408-IN,477.57
W262700-IN,89
0883432-IN,207.29
0886287-IN,1132.75
CL47772-IN,6638.54
S071907-IN,218.93
S071801-IN,112.57
0888662-IN,2747.23
0558813-IN,7901.6
0883732-IN,2407.3
0884487-IN,1606.52
0885450-IN,3491.43
0886286-IN,1619.29
0887147-IN,3101.45
0887899-IN,2514.48
0888692-IN,2579.24
0888950-IN,7405.22
0889427-IN,1467.82
0889734-IN,7577.98
0890226-IN,1973.46
S050374-IN,520.8
AUG0009-FC,1.99
SEP0009-FC,1.99
W254400-IN,132.5
0061424-PP,-400
LP0324-PP,-400
0883353-IN,470.81
0887374-IN,783.98
S339207-IN,855.26
0000123-PP,-2222
W259271-IN,99
0838770-IN,604.81
0886330-IN,564.65
W257824-IN,194.4
W263741-IN,79.5
0888794-IN,35720.38
0889523-IN,31821.18
5870868-PP,-12658.37
5870869-PP,272.12
5870953-PP,292.08
5870954-PP,19.22
5870955-PP,68.59
5870956-PP,-5.78
5870957-PP,11.84
5870958-PP,-0.62
5873236-PP,-12455.2
5873237-PP,258.52
5873323-PP,59.66
5873324-PP,93.45
5873325-PP,-3.74
5873326-PP,10.52
5873327-PP,-0.74
S050573-IN,312.94
S345170-IN,265.5
S345418-IN,384.8
S345901-IN,371.88
S346145-IN,576.84
W265171-IN,161.16
W265597-IN,116.73
AUG0010-FC,1.15
JUL0011-FC,1.15
JUN0010-FC,1.15
SEP0011-FC,1.15
W250647-IN,95
PB0924-PP,-995
S050488-IN,263.67
PB0925-PP,-975
W259274-IN,109
S071782-IN,173.78
0889484-IN,30238.31
5848225-PP,-2112.04
5848226-PP,34.07
5848227-PP,-64.14
5848228-PP,0.73
