Invoice,InvoiceDate,Due,Amount
5868461-PP,10/16/2025,10/16/2025,-2882.54
5870815-PP,10/17/2025,10/17/2025,-2260.85
5873182-PP,10/20/2025,10/20/2025,-1960.91
W266823-IN,10/16/2025,11/10/2025,4221.75
5871001-PP,10/17/2025,10/17/2025,-713.56
5873371-PP,10/20/2025,10/20/2025,-264.23
W266826-IN,10/16/2025,11/10/2025,353.19
0890598-IN,10/16/2025,11/10/2025,5861.55
5868782-PP,10/16/2025,10/16/2025,-39.34
5868784-PP,10/16/2025,10/16/2025,-1890.71
5868786-PP,10/16/2025,10/16/2025,-429.43
5871135-PP,10/17/2025,10/17/2025,-142.53
5871137-PP,10/17/2025,10/17/2025,-1399.79
5871139-PP,10/17/2025,10/17/2025,-1323.29
5871141-PP,10/17/2025,10/17/2025,-1081.9
5873522-PP,10/20/2025,10/20/2025,-1334.01
5873524-PP,10/20/2025,10/20/2025,-23.06
0890706-IN,10/17/2025,10/20/2025,64.86
0889824-IN,10/17/2025,10/20/2025,474.24
0890604-IN,10/16/2025,11/10/2025,5848.95
5868487-PP,10/16/2025,10/16/2025,-3365.36
5870837-PP,10/17/2025,10/17/2025,-3111.79
5873207-PP,10/20/2025,10/20/2025,-2737.14
0890614-IN,10/16/2025,11/10/2025,6605.2
5868488-PP,10/16/2025,10/16/2025,-2989.03
5870838-PP,10/17/2025,10/17/2025,-3687.84
5873208-PP,10/20/2025,10/20/2025,-2917.38
5874073-PP,10/20/2025,10/20/2025,-425.53
5874074-PP,10/20/2025,10/20/2025,9.58
S050577-IN,10/17/2025,11/10/2025,239.55
S346151-IN,10/16/2025,11/10/2025,678.06
5873198-PP,10/20/2025,10/20/2025,-1523.57
5873199-PP,10/20/2025,10/20/2025,-2967.72
5873200-PP,10/20/2025,10/20/2025,-2971.48
0889704-IN,10/16/2025,11/10/2025,346.08
0890226-IN,10/17/2025,11/10/2025,1973.46
5870868-PP,10/17/2025,10/17/2025,-12658.37
5870869-PP,10/17/2025,10/17/2025,272.12
5870953-PP,10/17/2025,10/17/2025,292.08
5870954-PP,10/17/2025,10/17/2025,19.22
5870955-PP,10/17/2025,10/17/2025,68.59
5870956-PP,10/17/2025,10/17/2025,-5.78
5870957-PP,10/17/2025,10/17/2025,11.84
5870958-PP,10/17/2025,10/17/2025,-0.62
5873236-PP,10/20/2025,10/20/2025,-12455.2
5873237-PP,10/20/2025,10/20/2025,258.52
5873323-PP,10/20/2025,10/20/2025,59.66
5873324-PP,10/20/2025,10/20/2025,93.45
5873325-PP,10/20/2025,10/20/2025,-3.74
5873326-PP,10/20/2025,10/20/2025,10.52
5873327-PP,10/20/2025,10/20/2025,-0.74
S050573-IN,10/16/2025,11/10/2025,312.94
5869338-PP,10/16/2025,10/16/2025,-1861.19
5869339-PP,10/16/2025,10/16/2025,29.99
5869340-PP,10/16/2025,10/16/2025,-104.41
5869341-PP,10/16/2025,10/16/2025,1.3
5869342-PP,10/16/2025,10/16/2025,-25.15
5869343-PP,10/16/2025,10/16/2025,0.11
5871674-PP,10/17/2025,10/17/2025,-1511.26
5871675-PP,10/17/2025,10/17/2025,29.45
5871676-PP,10/17/2025,10/17/2025,-1031.09
5871677-PP,10/17/2025,10/17/2025,17.17
5874123-PP,10/20/2025,10/20/2025,-1975.83
5874124-PP,10/20/2025,10/20/2025,33.61
5874125-PP,10/20/2025,10/20/2025,-1151.04
5874126-PP,10/20/2025,10/20/2025,18.69
5874063-PP,10/20/2025,10/20/2025,-968.87
5874064-PP,10/20/2025,10/20/2025,21.62
5874149-PP,10/20/2025,10/20/2025,-893.45
5874150-PP,10/20/2025,10/20/2025,16.39
5874151-PP,10/20/2025,10/20/2025,-1017.33
5874152-PP,10/20/2025,10/20/2025,18.89
5874153-PP,10/20/2025,10/20/2025,-899.37
5874154-PP,10/20/2025,10/20/2025,16.25
5874155-PP,10/20/2025,10/20/2025,-959.71
5874156-PP,10/20/2025,10/20/2025,16.64
5874157-PP,10/20/2025,10/20/2025,-877.66
5874158-PP,10/20/2025,10/20/2025,15.86
5874159-PP,10/20/2025,10/20/2025,-861.73
5874160-PP,10/20/2025,10/20/2025,15.59
5874161-PP,10/20/2025,10/20/2025,-939.81
5874162-PP,10/20/2025,10/20/2025,15.38
5874163-PP,10/20/2025,10/20/2025,-17.16
5874164-PP,10/20/2025,10/20/2025,-0.3
5874184-PP,10/20/2025,10/20/2025,-859.17
5874185-PP,10/20/2025,10/20/2025,14.28
5874186-PP,10/20/2025,10/20/2025,-765.51
5874187-PP,10/20/2025,10/20/2025,13.28
5874188-PP,10/20/2025,10/20/2025,-1031.03
5874189-PP,10/20/2025,10/20/2025,17.53
5874190-PP,10/20/2025,10/20/2025,-356.29
5874191-PP,10/20/2025,10/20/2025,7.84
