CusNo,CusName,InvNo,InvType,Day,InvDueDate,Sts,pType,Comment, Balance ,QryRunTime,CreateDate,Updated,UpdatedTime,Auto-Notes,Review?,InvoiceComment/Item,ManualNotes,"HIGHLITE 36,112.49","NOHILITE 278,530.04"," GT: 314,642.53 ",Prev. EFT Extract: 11/4/25 12:33,, (2.36),CL44118,,,,,,,,,,,,,,,
0000048,"Griggs Ferndale, LLC",S347193,IN,Thursday,11/6/2025,S,EFT,Propane,466.22,11/5/2025 10:41,10/23/2025,10/23/2025,16.94514,054,FALSE,Propane,,,,,,,,,,,,,,,,,,,,,,,
0000048,"Griggs Ferndale, LLC",S347194,IN,Thursday,11/6/2025,S,EFT,Propane,539.5,11/5/2025 10:41,10/23/2025,10/23/2025,16.94514,054,FALSE,Propane,,,,,,,,,,,,,,,,,,,,,,,
0000062,Port of Anacortes - CC*,5938220,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/02 13,-254.45,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000062,Port of Anacortes - CC*,5938221,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/02 13,8.27,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000062,Port of Anacortes - CC*,5938222,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/02 13,-802.46,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000062,Port of Anacortes - CC*,5938223,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/02 13,18.06,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000149,"Griggs Ferndale, LLC - CC*",5935217,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/05 4748,-549.01,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000149,"Griggs Ferndale, LLC - CC*",5935218,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/05 4749,-2598.91,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000526,Express Aviation Services LLC,5937870,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 91,-1831.03,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000526,Express Aviation Services LLC,5937871,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 91,61.34,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000526,Express Aviation Services LLC,5937872,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 91,-1457.42,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000526,Express Aviation Services LLC,5937873,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 91,32.79,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000526,Express Aviation Services LLC,5937874,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 91,-1219.91,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000526,Express Aviation Services LLC,5937875,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 91,27.45,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938439,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,-17.51,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938440,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,0.59,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938441,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,-561.16,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938442,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,8.29,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938443,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,-39.51,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938444,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,0.95,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938445,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,-146.22,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938446,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/03 06,2.95,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938447,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 07,-52.12,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938448,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 07,0.8,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938449,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 07,-31,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938450,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 07,0.59,11/5/2025 10:41,,,,DTN,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938451,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 07,-113,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938452,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 07,1.85,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938453,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 08,-576.41,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938454,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 08,8.08,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
0000662,Matovich Oil Company,5938455,PP,Wednesday,11/5/2025,S,EFT,DTN CREDIT CARD 11/04 08,-22.68,11/5/2025 10:41,,,,DTN,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
